Round,Team 1,Team 2,Pool,WIN
1,BLG,MDK,0-0,BLG
1,TES,T1,0-0,TES
1,GEN,WBG,0-0,GEN
1,FNC,DK,0-0,DK
1,TL,LNG,0-0,LNG
1,HLE,PSG,0-0,HLE
1,FLY,GAM,0-0,FLY
1,G2,PAIN,0-0,G2
2,BLG,LNG,1-0,LNG
2,GEN,TES,1-0,GEN
2,G2,HLE,1-0,HLE
2,DK,FLY,1-0,DK
2,WBG,TL,0-1,WBG
2,T1,PAIN,0-1,T1
2,FNC,GAM,0-1,FNC
2,PSG,MDK,0-1,PSG
3,DK,LNG,2-0,LNG
3,HLE,GEN,2-0,GEN
3,TES,FNC,1-1,TES
3,BLG,T1,1-1,T1
3,PSG,FLY,1-1,FLY
3,WBG,G2,1-1,G2
3,MDK,GAM,0-2,GAM
3,PAIN,TL,0-2,TL
4,DK,TES,2-1,TES
4,HLE,FLY,2-1,HLE
4,G2,T1,2-1,T1
4,BLG,PSG,1-2,BLG
4,WBG,FNC,1-2,WBG
4,TL,GAM,1-2,TL
5,DK,WBG,2-2,WBG
5,G2,BLG,2-2,BLG
5,FLY,TL,2-2,FLY
